module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMAD Hexalith Module,hex-enforce,Gate a Diff,GD,"Run the diff-scoped conformance gate (judgment layer): cited findings, waiver-aware, staleness check.",gate,"{-H: headless mode}|{diff: PR or working tree vs default branch}",anytime,hex-absorb:seed,,false,,verdict + cited findings; PR annotations in CI
BMAD Hexalith Module,hex-enforce,Coverage Map,CV,"Map which mechanical KB rules the Roslyn analyzer covers and which are gaps (analyzer backlog).",coverage,"{-H: headless mode}",anytime,hex-absorb:seed,,false,output_folder,coverage partition report
BMAD Hexalith Module,hex-enforce,Propose a Waiver,PW,"Draft a well-formed waiver entry (convention id, reason, review date) as a diff for human merge.",waiver,"{-H: headless mode}|{finding: convention id + justification}",anytime,hex-enforce:gate,,false,target repo hex-waivers.yaml,waiver entry diff
BMAD Hexalith Module,hex-migrate,Audit a Repo,AU,"Repo-wide audit against current conventions: tiered gap report (mechanical/structural/judgment) with citations.",audit,"{-H: headless mode}|{repo: target repo path}",anytime,hex-absorb:seed,hex-migrate:drive,false,output_folder,gap report (HTML + JSON)
BMAD Hexalith Module,hex-migrate,Drive an Upgrade,DU,"Execute the migration plan with a green gate per step; mechanical auto-fixed, judgment escalated.",drive,"{-H: headless mode}|{report: settled gap report path}",anytime,hex-migrate:audit,,false,target repo branch,migrated branch + migration log
BMAD Hexalith Module,hex-migrate,Fleet Audit,FA,"Audit every repo in the fleet manifest and aggregate: lag per repo, drift hot-spots, waiver counts.",fleet,"{-H: headless mode}",anytime,hex-absorb:seed,,false,output_folder,fleet conformance report (HTML + JSON)
BMAD Hexalith Module,hex-extend,Add an Aggregate,XA,"Add a pure-function aggregate with its events, per-aggregate tests, and wiring — conformant by construction.",aggregate,"{-H: headless mode}|{name: aggregate name}|{behavior: behavior sketch}",anytime,hex-absorb:seed,,false,target repo working tree,aggregate + events + tests
BMAD Hexalith Module,hex-extend,Add a Command,XC,"Add a command contract with handler wiring and tests in the right packages.",command,"{-H: headless mode}|{name: command name}|{payload: optional payload sketch}",anytime,hex-absorb:seed,,false,target repo working tree,command contract + wiring + tests
BMAD Hexalith Module,hex-extend,Add an Event,XE,"Add an event contract with registration and tests in the right packages.",event,"{-H: headless mode}|{name: event name}|{payload: optional payload sketch}",anytime,hex-absorb:seed,,false,target repo working tree,event contract + wiring + tests
BMAD Hexalith Module,hex-extend,Add a Projection,XP,"Add a read-model projection handler wired per conventions, with tests.",projection,"{-H: headless mode}|{name: projection name}",anytime,hex-absorb:seed,,false,target repo working tree,projection + tests
BMAD Hexalith Module,hex-extend,Add a Request Handler,XR,"Add a query-side request handler per conventions, with tests.",request-handler,"{-H: headless mode}|{name: request handler name}",anytime,hex-absorb:seed,,false,target repo working tree,request handler + tests
BMAD Hexalith Module,hex-extend,Add a UI Page,XU,"Add a Blazor Fluent UI page composed via FrontComposer, with localization stubs and tests.",ui-page,"{-H: headless mode}|{name: page name}",anytime,hex-absorb:seed,,false,target repo working tree,UI page + components + localization entries
BMAD Hexalith Module,hex-create,Plan a Module Scaffold,NP,"Interview (or args) to a validated machine-readable scaffold plan with convention citations.",plan,"{-H: headless mode}|{name: module name}|{type: technical or domain}|{target: target directory}",anytime,hex-absorb:seed,hex-create:scaffold,false,output_folder,scaffold plan
BMAD Hexalith Module,hex-create,Create a Module,NM,"Scaffold a new Hexalith module repo correct by construction: generate, seed first aggregate, verify zero-gap.",scaffold,"{-H: headless mode}|{plan: existing scaffold plan path}|{name + type: when no plan}",anytime,hex-create:plan,,false,target directory,git-initialized conformant module repo
